Date,Colony,TimePoint,Core,YII,Sample.Time
2015-06-30,S1,T0,S1-10,0.525,T0_S1-10
2015-08-04,S1,T1,S1-10,0.554,T1_S1-10
2015-10-02,S1,T2,S1-10,0.555,T2_S1-10
2015-10-21,S1,T3,S1-10,0.571,T3_S1-10
2015-12-12,S1,T4,S1-10,0.55,T4_S1-10
2016-01-14,S1,T5,S1-10,0.547,T5_S1-10
2015-06-30,S1,T0,S1-11,0.528,T0_S1-11
2015-08-04,S1,T1,S1-11,0.583,T1_S1-11
2015-10-02,S1,T2,S1-11,0.557,T2_S1-11
2015-10-21,S1,T3,S1-11,0.538,T3_S1-11
2015-12-12,S1,T4,S1-11,0.526,T4_S1-11
2016-01-14,S1,T5,S1-11,0.526,T5_S1-11
2016-01-25,S1,T6,S1-11,0.486,T6_S1-11
2016-02-01,S1,T7,S1-11,0.459,T7_S1-11
2016-02-05,S1,T8,S1-11,0.479,T8_S1-11
2016-02-12,S1,T9,S1-11,0.227,T9_S1-11
2016-02-22,S1,T10,S1-11,0.048,T10_S1-11
2016-04-05,S1,T11,S1-11,0.462,T11_S1-11
2015-06-30,S1,T0,S1-12,0.523,T0_S1-12
2015-08-04,S1,T1,S1-12,0.553,T1_S1-12
2015-10-02,S1,T2,S1-12,0.573,T2_S1-12
2015-10-21,S1,T3,S1-12,0.566,T3_S1-12
2015-12-12,S1,T4,S1-12,0.527,T4_S1-12
2016-01-14,S1,T5,S1-12,0.534,T5_S1-12
2015-06-30,S1,T0,S1-13,0.54,T0_S1-13
2015-08-04,S1,T1,S1-13,0.572,T1_S1-13
2015-10-02,S1,T2,S1-13,0.56,T2_S1-13
2015-10-21,S1,T3,S1-13,0.549,T3_S1-13
2015-12-12,S1,T4,S1-13,0.527,T4_S1-13
2016-01-14,S1,T5,S1-13,0.558,T5_S1-13
2016-01-25,S1,T6,S1-13,0.501,T6_S1-13
2016-02-01,S1,T7,S1-13,0.462,T7_S1-13
2016-02-05,S1,T8,S1-13,0.495,T8_S1-13
2016-02-12,S1,T9,S1-13,0.259,T9_S1-13
2016-02-22,S1,T10,S1-13,0.048,T10_S1-13
2016-04-05,S1,T11,S1-13,0.458,T11_S1-13
2015-06-30,S1,T0,S1-14,0.539,T0_S1-14
2015-08-04,S1,T1,S1-14,0.587,T1_S1-14
2015-10-02,S1,T2,S1-14,0.571,T2_S1-14
2015-10-21,S1,T3,S1-14,0.552,T3_S1-14
2015-12-12,S1,T4,S1-14,0.532,T4_S1-14
2016-01-14,S1,T5,S1-14,0.54,T5_S1-14
2016-01-25,S1,T6,S1-14,0.516,T6_S1-14
2016-02-01,S1,T7,S1-14,0.464,T7_S1-14
2016-02-05,S1,T8,S1-14,0.472,T8_S1-14
2016-02-12,S1,T9,S1-14,0.187,T9_S1-14
2015-06-30,S1,T0,S1-15,0.513,T0_S1-15
2015-08-04,S1,T1,S1-15,0.562,T1_S1-15
2015-10-02,S1,T2,S1-15,0.538,T2_S1-15
2015-10-21,S1,T3,S1-15,0.539,T3_S1-15
2015-12-12,S1,T4,S1-15,0.524,T4_S1-15
2016-01-14,S1,T5,S1-15,0.534,T5_S1-15
2016-01-25,S1,T6,S1-15,0.544,T6_S1-15
2016-02-01,S1,T7,S1-15,0.5,T7_S1-15
2016-02-05,S1,T8,S1-15,0.457,T8_S1-15
2016-02-12,S1,T9,S1-15,0.307,T9_S1-15
2016-02-22,S1,T10,S1-15,0.027,T10_S1-15
2016-04-05,S1,T11,S1-15,0.468,T11_S1-15
2015-06-30,S1,T0,S1-16,0.539,T0_S1-16
2015-08-04,S1,T1,S1-16,0.57,T1_S1-16
2015-10-02,S1,T2,S1-16,0.577,T2_S1-16
2015-10-21,S1,T3,S1-16,0.583,T3_S1-16
2015-12-12,S1,T4,S1-16,0.55,T4_S1-16
2016-01-14,S1,T5,S1-16,0.545,T5_S1-16
2016-01-25,S1,T6,S1-16,0.494,T6_S1-16
2016-02-01,S1,T7,S1-16,0.501,T7_S1-16
2016-02-05,S1,T8,S1-16,0.491,T8_S1-16
2016-02-12,S1,T9,S1-16,0.254,T9_S1-16
2016-02-22,S1,T10,S1-16,0.063,T10_S1-16
2016-04-05,S1,T11,S1-16,0.597,T11_S1-16
2015-06-30,S1,T0,S1-17,0.507,T0_S1-17
2015-08-04,S1,T1,S1-17,0.551,T1_S1-17
2015-10-02,S1,T2,S1-17,0.565,T2_S1-17
2015-10-21,S1,T3,S1-17,0.517,T3_S1-17
2015-12-12,S1,T4,S1-17,0.547,T4_S1-17
2016-01-14,S1,T5,S1-17,0.569,T5_S1-17
2016-01-25,S1,T6,S1-17,0.438,T6_S1-17
2016-02-01,S1,T7,S1-17,0.479,T7_S1-17
2016-02-05,S1,T8,S1-17,0.447,T8_S1-17
2016-02-12,S1,T9,S1-17,0.353,T9_S1-17
2016-02-22,S1,T10,S1-17,0.038,T10_S1-17
2016-04-05,S1,T11,S1-17,0.558,T11_S1-17
2015-06-30,S1,T0,S1-18,0.504,T0_S1-18
2015-08-04,S1,T1,S1-18,0.577,T1_S1-18
2015-10-02,S1,T2,S1-18,0.588,T2_S1-18
2015-10-21,S1,T3,S1-18,0.592,T3_S1-18
2015-12-12,S1,T4,S1-18,0.547,T4_S1-18
2016-01-14,S1,T5,S1-18,0.573,T5_S1-18
2015-06-30,S1,T0,S1-19,0.546,T0_S1-19
2015-08-04,S1,T1,S1-19,0.504,T1_S1-19
2015-10-02,S1,T2,S1-19,0.475,T2_S1-19
2015-10-21,S1,T3,S1-19,0.484,T3_S1-19
2015-12-12,S1,T4,S1-19,0.542,T4_S1-19
2016-01-14,S1,T5,S1-19,0.607,T5_S1-19
2016-01-25,S1,T6,S1-19,0.567,T6_S1-19
2016-02-01,S1,T7,S1-19,0.546,T7_S1-19
2016-02-05,S1,T8,S1-19,0.559,T8_S1-19
2016-02-12,S1,T9,S1-19,0.551,T9_S1-19
2015-06-30,S1,T0,S1-2,0.522,T0_S1-2
2015-08-04,S1,T1,S1-2,0.579,T1_S1-2
2015-10-02,S1,T2,S1-2,0.596,T2_S1-2
2015-10-21,S1,T3,S1-2,0.579,T3_S1-2
2015-12-12,S1,T4,S1-2,0.557,T4_S1-2
2016-01-14,S1,T5,S1-2,0.581,T5_S1-2
2016-01-25,S1,T6,S1-2,0.531,T6_S1-2
2016-02-01,S1,T7,S1-2,0.552,T7_S1-2
2016-02-05,S1,T8,S1-2,0.553,T8_S1-2
2016-02-12,S1,T9,S1-2,0.259,T9_S1-2
2016-02-22,S1,T10,S1-2,0,T10_S1-2
2016-04-05,S1,T11,S1-2,0.564,T11_S1-2
2015-06-30,S1,T0,S1-20,0.509,T0_S1-20
2015-08-04,S1,T1,S1-20,0.522,T1_S1-20
2015-10-02,S1,T2,S1-20,0.506,T2_S1-20
2015-10-21,S1,T3,S1-20,0.611,T3_S1-20
2015-12-12,S1,T4,S1-20,0.424,T4_S1-20
2016-01-14,S1,T5,S1-20,0.556,T5_S1-20
2016-01-25,S1,T6,S1-20,0.463,T6_S1-20
2016-02-01,S1,T7,S1-20,0.526,T7_S1-20
2016-02-05,S1,T8,S1-20,0.527,T8_S1-20
2016-04-05,S1,T11,S1-20,0.496,T11_S1-20
2015-06-30,S1,T0,S1-21,0.52,T0_S1-21
2015-08-04,S1,T1,S1-21,0.593,T1_S1-21
2015-10-02,S1,T2,S1-21,0.475,T2_S1-21
2015-10-21,S1,T3,S1-21,0.449,T3_S1-21
2015-12-12,S1,T4,S1-21,0.569,T4_S1-21
2016-01-14,S1,T5,S1-21,0.534,T5_S1-21
2016-01-25,S1,T6,S1-21,0.475,T6_S1-21
2016-02-01,S1,T7,S1-21,0.475,T7_S1-21
2016-02-05,S1,T8,S1-21,0.511,T8_S1-21
2016-02-12,S1,T9,S1-21,0.518,T9_S1-21
2016-04-05,S1,T11,S1-21,0.501,T11_S1-21
2015-06-30,S1,T0,S1-22,0.524,T0_S1-22
2015-08-04,S1,T1,S1-22,0.528,T1_S1-22
2015-10-02,S1,T2,S1-22,0.545,T2_S1-22
2015-10-21,S1,T3,S1-22,0.577,T3_S1-22
2015-12-12,S1,T4,S1-22,0.562,T4_S1-22
2016-01-14,S1,T5,S1-22,0.636,T5_S1-22
2016-01-25,S1,T6,S1-22,0.565,T6_S1-22
2016-02-01,S1,T7,S1-22,0.554,T7_S1-22
2016-02-05,S1,T8,S1-22,0.534,T8_S1-22
2016-02-12,S1,T9,S1-22,0.519,T9_S1-22
2016-02-22,S1,T10,S1-22,0.443,T10_S1-22
2016-04-05,S1,T11,S1-22,0.533,T11_S1-22
2015-06-30,S1,T0,S1-23,0.539,T0_S1-23
2015-08-04,S1,T1,S1-23,0.545,T1_S1-23
2015-10-02,S1,T2,S1-23,0.555,T2_S1-23
2015-10-21,S1,T3,S1-23,0.535,T3_S1-23
2015-12-12,S1,T4,S1-23,0.533,T4_S1-23
2016-01-14,S1,T5,S1-23,0.554,T5_S1-23
2016-01-25,S1,T6,S1-23,0.508,T6_S1-23
2016-02-01,S1,T7,S1-23,0.497,T7_S1-23
2016-02-05,S1,T8,S1-23,0.497,T8_S1-23
2016-02-12,S1,T9,S1-23,0.279,T9_S1-23
2015-06-30,S1,T0,S1-24,0.508,T0_S1-24
2015-08-04,S1,T1,S1-24,0.541,T1_S1-24
2015-10-02,S1,T2,S1-24,0.538,T2_S1-24
2015-10-21,S1,T3,S1-24,0.534,T3_S1-24
2015-12-12,S1,T4,S1-24,0.512,T4_S1-24
2016-01-14,S1,T5,S1-24,0.511,T5_S1-24
2015-06-30,S1,T0,S1-25,0.526,T0_S1-25
2015-08-04,S1,T1,S1-25,0.561,T1_S1-25
2015-10-02,S1,T2,S1-25,0.554,T2_S1-25
2015-10-21,S1,T3,S1-25,0.531,T3_S1-25
2015-12-12,S1,T4,S1-25,0.532,T4_S1-25
2016-01-14,S1,T5,S1-25,0.58,T5_S1-25
2016-01-25,S1,T6,S1-25,0.531,T6_S1-25
2016-02-01,S1,T7,S1-25,0.498,T7_S1-25
2016-02-05,S1,T8,S1-25,0.407,T8_S1-25
2016-02-12,S1,T9,S1-25,0.119,T9_S1-25
2015-06-30,S1,T0,S1-26,0.528,T0_S1-26
2015-08-04,S1,T1,S1-26,0.563,T1_S1-26
2015-10-02,S1,T2,S1-26,0.55,T2_S1-26
2015-10-21,S1,T3,S1-26,0.553,T3_S1-26
2015-12-12,S1,T4,S1-26,0.542,T4_S1-26
2016-01-14,S1,T5,S1-26,0.543,T5_S1-26
2016-01-25,S1,T6,S1-26,0.557,T6_S1-26
2016-02-01,S1,T7,S1-26,0.508,T7_S1-26
2016-02-05,S1,T8,S1-26,0.478,T8_S1-26
2016-02-22,S1,T10,S1-26,0,T10_S1-26
2016-04-05,S1,T11,S1-26,0.517,T11_S1-26
2015-06-30,S1,T0,S1-28,0.534,T0_S1-28
2015-08-04,S1,T1,S1-28,0.6,T1_S1-28
2015-10-02,S1,T2,S1-28,0.61,T2_S1-28
2015-10-21,S1,T3,S1-28,0.596,T3_S1-28
2015-12-12,S1,T4,S1-28,0.546,T4_S1-28
2016-01-14,S1,T5,S1-28,0.573,T5_S1-28
2016-01-25,S1,T6,S1-28,0.553,T6_S1-28
2016-02-01,S1,T7,S1-28,0.558,T7_S1-28
2016-02-05,S1,T8,S1-28,0.527,T8_S1-28
2016-02-12,S1,T9,S1-28,0.376,T9_S1-28
2015-06-30,S1,T0,S1-29,0.509,T0_S1-29
2015-08-04,S1,T1,S1-29,0.593,T1_S1-29
2015-10-02,S1,T2,S1-29,0.449,T2_S1-29
2015-10-21,S1,T3,S1-29,0.437,T3_S1-29
2015-12-12,S1,T4,S1-29,0.547,T4_S1-29
2016-01-14,S1,T5,S1-29,0.523,T5_S1-29
2016-01-25,S1,T6,S1-29,0.491,T6_S1-29
2016-02-01,S1,T7,S1-29,0.493,T7_S1-29
2016-02-05,S1,T8,S1-29,0.492,T8_S1-29
2016-02-12,S1,T9,S1-29,0.505,T9_S1-29
2016-04-05,S1,T11,S1-29,0.502,T11_S1-29
2015-06-30,S1,T0,S1-3,0.505,T0_S1-3
2015-08-04,S1,T1,S1-3,0.547,T1_S1-3
2015-10-02,S1,T2,S1-3,0.496,T2_S1-3
2015-10-21,S1,T3,S1-3,0.492,T3_S1-3
2015-12-12,S1,T4,S1-3,0.39,T4_S1-3
2016-01-14,S1,T5,S1-3,0.54,T5_S1-3
2016-01-25,S1,T6,S1-3,0.473,T6_S1-3
2016-02-01,S1,T7,S1-3,0.519,T7_S1-3
2016-02-05,S1,T8,S1-3,0.536,T8_S1-3
2016-02-12,S1,T9,S1-3,0.382,T9_S1-3
2016-04-05,S1,T11,S1-3,0.524,T11_S1-3
2015-06-30,S1,T0,S1-30,0.513,T0_S1-30
2015-08-04,S1,T1,S1-30,0.569,T1_S1-30
2015-10-02,S1,T2,S1-30,0.591,T2_S1-30
2015-10-21,S1,T3,S1-30,0.542,T3_S1-30
2015-12-12,S1,T4,S1-30,0.556,T4_S1-30
2016-01-14,S1,T5,S1-30,0.577,T5_S1-30
2016-01-25,S1,T6,S1-30,0.516,T6_S1-30
2016-02-01,S1,T7,S1-30,0.491,T7_S1-30
2016-02-05,S1,T8,S1-30,0.467,T8_S1-30
2016-02-12,S1,T9,S1-30,0.259,T9_S1-30
2016-02-22,S1,T10,S1-30,0.226,T10_S1-30
2016-04-05,S1,T11,S1-30,0.552,T11_S1-30
2015-06-30,S1,T0,S1-4,0.535,T0_S1-4
2015-08-04,S1,T1,S1-4,0.523,T1_S1-4
2015-10-02,S1,T2,S1-4,0.435,T2_S1-4
2015-10-21,S1,T3,S1-4,0.423,T3_S1-4
2015-12-12,S1,T4,S1-4,0.514,T4_S1-4
2016-01-14,S1,T5,S1-4,0.584,T5_S1-4
2016-01-25,S1,T6,S1-4,0.544,T6_S1-4
2016-02-01,S1,T7,S1-4,0.568,T7_S1-4
2016-02-05,S1,T8,S1-4,0.535,T8_S1-4
2016-02-12,S1,T9,S1-4,0.516,T9_S1-4
2016-02-22,S1,T10,S1-4,0.446,T10_S1-4
2016-04-05,S1,T11,S1-4,0.533,T11_S1-4
2015-06-30,S1,T0,S1-5,0.516,T0_S1-5
2015-08-04,S1,T1,S1-5,0.558,T1_S1-5
2015-10-02,S1,T2,S1-5,0.585,T2_S1-5
2015-10-21,S1,T3,S1-5,0.601,T3_S1-5
2015-12-12,S1,T4,S1-5,0.555,T4_S1-5
2016-01-14,S1,T5,S1-5,0.579,T5_S1-5
2016-01-25,S1,T6,S1-5,0.565,T6_S1-5
2016-02-01,S1,T7,S1-5,0.555,T7_S1-5
2016-02-05,S1,T8,S1-5,0.473,T8_S1-5
2016-02-12,S1,T9,S1-5,0.41,T9_S1-5
2016-02-22,S1,T10,S1-5,0,T10_S1-5
2016-04-05,S1,T11,S1-5,0.561,T11_S1-5
2015-06-30,S1,T0,S1-6,0.519,T0_S1-6
2015-08-04,S1,T1,S1-6,0.527,T1_S1-6
2015-10-02,S1,T2,S1-6,0.539,T2_S1-6
2015-10-21,S1,T3,S1-6,0.528,T3_S1-6
2015-12-12,S1,T4,S1-6,0.542,T4_S1-6
2016-01-14,S1,T5,S1-6,0.558,T5_S1-6
2016-01-25,S1,T6,S1-6,0.527,T6_S1-6
2016-02-01,S1,T7,S1-6,0.546,T7_S1-6
2016-02-05,S1,T8,S1-6,0.501,T8_S1-6
2016-02-12,S1,T9,S1-6,0.364,T9_S1-6
2016-02-22,S1,T10,S1-6,0.032,T10_S1-6
2016-04-05,S1,T11,S1-6,0.602,T11_S1-6
2015-06-30,S1,T0,S1-7,0.528,T0_S1-7
2015-08-04,S1,T1,S1-7,0.537,T1_S1-7
2015-10-02,S1,T2,S1-7,0.537,T2_S1-7
2015-10-21,S1,T3,S1-7,0.57,T3_S1-7
2015-12-12,S1,T4,S1-7,0.537,T4_S1-7
2016-01-14,S1,T5,S1-7,0.609,T5_S1-7
2015-06-30,S1,T0,S1-8,0.522,T0_S1-8
2015-08-04,S1,T1,S1-8,0.556,T1_S1-8
2015-10-02,S1,T2,S1-8,0.592,T2_S1-8
2015-10-21,S1,T3,S1-8,0.538,T3_S1-8
2015-12-12,S1,T4,S1-8,0.553,T4_S1-8
2016-01-14,S1,T5,S1-8,0.568,T5_S1-8
2015-06-30,S1,T0,S1-9,0.527,T0_S1-9
2015-08-04,S1,T1,S1-9,0.55,T1_S1-9
2015-10-02,S1,T2,S1-9,0.555,T2_S1-9
2015-10-21,S1,T3,S1-9,0.537,T3_S1-9
2015-12-12,S1,T4,S1-9,0.541,T4_S1-9
2016-01-14,S1,T5,S1-9,0.549,T5_S1-9
2016-01-25,S1,T6,S1-9,0.533,T6_S1-9
2016-02-01,S1,T7,S1-9,0.526,T7_S1-9
2016-02-05,S1,T8,S1-9,0.489,T8_S1-9
2016-02-12,S1,T9,S1-9,0.331,T9_S1-9
2015-06-30,S2,T0,S2-1,0.574,T0_S2-1
2015-08-04,S2,T1,S2-1,0.583,T1_S2-1
2015-10-02,S2,T2,S2-1,0.572,T2_S2-1
2015-10-21,S2,T3,S2-1,0.591,T3_S2-1
2015-12-12,S2,T4,S2-1,0.564,T4_S2-1
2016-01-14,S2,T5,S2-1,0.619,T5_S2-1
2016-01-25,S2,T6,S2-1,0.578,T6_S2-1
2016-02-01,S2,T7,S2-1,0.558,T7_S2-1
2016-02-05,S2,T8,S2-1,0.552,T8_S2-1
2016-02-12,S2,T9,S2-1,0.559,T9_S2-1
2016-02-22,S2,T10,S2-1,0.516,T10_S2-1
2016-04-05,S2,T11,S2-1,0.528,T11_S2-1
2015-06-30,S2,T0,S2-10,0.551,T0_S2-10
2015-08-04,S2,T1,S2-10,0.555,T1_S2-10
2015-10-02,S2,T2,S2-10,0.543,T2_S2-10
2015-10-21,S2,T3,S2-10,0.506,T3_S2-10
2015-12-12,S2,T4,S2-10,0.495,T4_S2-10
2016-01-14,S2,T5,S2-10,0.523,T5_S2-10
2016-01-25,S2,T6,S2-10,0.537,T6_S2-10
2016-02-01,S2,T7,S2-10,0.552,T7_S2-10
2016-02-05,S2,T8,S2-10,0.551,T8_S2-10
2016-02-12,S2,T9,S2-10,0.499,T9_S2-10
2016-02-22,S2,T10,S2-10,0.25,T10_S2-10
2016-04-05,S2,T11,S2-10,0.531,T11_S2-10
2015-06-30,S2,T0,S2-11,0.556,T0_S2-11
2015-08-04,S2,T1,S2-11,0.577,T1_S2-11
2015-10-02,S2,T2,S2-11,0.546,T2_S2-11
2015-10-21,S2,T3,S2-11,0.55,T3_S2-11
2015-12-12,S2,T4,S2-11,0.506,T4_S2-11
2016-01-14,S2,T5,S2-11,0.523,T5_S2-11
2016-01-25,S2,T6,S2-11,0.567,T6_S2-11
2016-02-01,S2,T7,S2-11,0.568,T7_S2-11
2016-02-05,S2,T8,S2-11,0.556,T8_S2-11
2016-02-12,S2,T9,S2-11,0.517,T9_S2-11
2015-06-30,S2,T0,S2-13,0.568,T0_S2-13
2015-08-04,S2,T1,S2-13,0.596,T1_S2-13
2015-10-02,S2,T2,S2-13,0.584,T2_S2-13
2015-10-21,S2,T3,S2-13,0.557,T3_S2-13
2015-12-12,S2,T4,S2-13,0.549,T4_S2-13
2016-01-14,S2,T5,S2-13,0.56,T5_S2-13
2015-06-30,S2,T0,S2-14,0.574,T0_S2-14
2015-08-04,S2,T1,S2-14,0.606,T1_S2-14
2015-10-02,S2,T2,S2-14,0.618,T2_S2-14
2015-10-21,S2,T3,S2-14,0.604,T3_S2-14
2015-12-12,S2,T4,S2-14,0.565,T4_S2-14
2016-01-14,S2,T5,S2-14,0.586,T5_S2-14
2016-01-25,S2,T6,S2-14,0.585,T6_S2-14
2016-02-01,S2,T7,S2-14,0.582,T7_S2-14
2016-02-05,S2,T8,S2-14,0.591,T8_S2-14
2016-02-12,S2,T9,S2-14,0.555,T9_S2-14
2016-02-22,S2,T10,S2-14,0.337,T10_S2-14
2016-04-05,S2,T11,S2-14,0.568,T11_S2-14
2015-06-30,S2,T0,S2-15,0.561,T0_S2-15
2015-08-04,S2,T1,S2-15,0.565,T1_S2-15
2015-10-02,S2,T2,S2-15,0.579,T2_S2-15
2015-10-21,S2,T3,S2-15,0.606,T3_S2-15
2015-12-12,S2,T4,S2-15,0.561,T4_S2-15
2016-01-14,S2,T5,S2-15,0.632,T5_S2-15
2016-01-25,S2,T6,S2-15,0.581,T6_S2-15
2016-02-01,S2,T7,S2-15,0.553,T7_S2-15
2016-02-05,S2,T8,S2-15,0.564,T8_S2-15
2016-02-12,S2,T9,S2-15,0.574,T9_S2-15
2015-06-30,S2,T0,S2-16,0.561,T0_S2-16
2015-08-04,S2,T1,S2-16,0.564,T1_S2-16
2015-10-02,S2,T2,S2-16,0.553,T2_S2-16
2015-10-21,S2,T3,S2-16,0.541,T3_S2-16
2015-12-12,S2,T4,S2-16,0.511,T4_S2-16
2016-01-14,S2,T5,S2-16,0.522,T5_S2-16
2016-01-25,S2,T6,S2-16,0.55,T6_S2-16
2016-02-01,S2,T7,S2-16,0.546,T7_S2-16
2016-02-05,S2,T8,S2-16,0.542,T8_S2-16
2016-02-12,S2,T9,S2-16,0.505,T9_S2-16
2016-02-22,S2,T10,S2-16,0.284,T10_S2-16
2016-04-05,S2,T11,S2-16,0.594,T11_S2-16
2015-06-30,S2,T0,S2-18,0.55,T0_S2-18
2015-08-04,S2,T1,S2-18,0.581,T1_S2-18
2015-10-02,S2,T2,S2-18,0.563,T2_S2-18
2015-10-21,S2,T3,S2-18,0.591,T3_S2-18
2015-12-12,S2,T4,S2-18,0.536,T4_S2-18
2016-01-14,S2,T5,S2-18,0.546,T5_S2-18
2016-01-25,S2,T6,S2-18,0.543,T6_S2-18
2016-02-01,S2,T7,S2-18,0.556,T7_S2-18
2016-02-05,S2,T8,S2-18,0.575,T8_S2-18
2016-02-12,S2,T9,S2-18,0.517,T9_S2-18
2015-06-30,S2,T0,S2-19,0.549,T0_S2-19
2015-08-04,S2,T1,S2-19,0.625,T1_S2-19
2015-10-02,S2,T2,S2-19,0.532,T2_S2-19
2015-10-21,S2,T3,S2-19,0.486,T3_S2-19
2015-12-12,S2,T4,S2-19,0.47,T4_S2-19
2016-01-14,S2,T5,S2-19,0.536,T5_S2-19
2016-01-25,S2,T6,S2-19,0.475,T6_S2-19
2016-02-01,S2,T7,S2-19,0.458,T7_S2-19
2016-02-05,S2,T8,S2-19,0.491,T8_S2-19
2016-02-12,S2,T9,S2-19,0.502,T9_S2-19
2016-04-05,S2,T11,S2-19,0.441,T11_S2-19
2015-06-30,S2,T0,S2-2,0.572,T0_S2-2
2015-08-04,S2,T1,S2-2,0.597,T1_S2-2
2015-10-02,S2,T2,S2-2,0.578,T2_S2-2
2015-10-21,S2,T3,S2-2,0.543,T3_S2-2
2015-12-12,S2,T4,S2-2,0.522,T4_S2-2
2016-01-14,S2,T5,S2-2,0.543,T5_S2-2
2015-06-30,S2,T0,S2-20,0.569,T0_S2-20
2015-08-04,S2,T1,S2-20,0.562,T1_S2-20
2015-10-02,S2,T2,S2-20,0.539,T2_S2-20
2015-10-21,S2,T3,S2-20,0.525,T3_S2-20
2015-12-12,S2,T4,S2-20,0.532,T4_S2-20
2016-01-14,S2,T5,S2-20,0.598,T5_S2-20
2015-06-30,S2,T0,S2-21,0.57,T0_S2-21
2015-08-04,S2,T1,S2-21,0.745,T1_S2-21
2015-10-02,S2,T2,S2-21,0.587,T2_S2-21
2015-10-21,S2,T3,S2-21,0.564,T3_S2-21
2015-12-12,S2,T4,S2-21,0.53,T4_S2-21
2016-01-14,S2,T5,S2-21,0.557,T5_S2-21
2015-06-30,S2,T0,S2-22,0.556,T0_S2-22
2015-08-04,S2,T1,S2-22,0.576,T1_S2-22
2015-10-02,S2,T2,S2-22,0.551,T2_S2-22
2015-10-21,S2,T3,S2-22,0.548,T3_S2-22
2015-12-12,S2,T4,S2-22,0.509,T4_S2-22
2016-01-14,S2,T5,S2-22,0.536,T5_S2-22
2016-01-25,S2,T6,S2-22,0.565,T6_S2-22
2016-02-01,S2,T7,S2-22,0.567,T7_S2-22
2016-02-05,S2,T8,S2-22,0.557,T8_S2-22
2016-02-12,S2,T9,S2-22,0.53,T9_S2-22
2016-02-22,S2,T10,S2-22,0.347,T10_S2-22
2016-04-05,S2,T11,S2-22,0.539,T11_S2-22
2015-06-30,S2,T0,S2-23,0.553,T0_S2-23
2015-08-04,S2,T1,S2-23,0.597,T1_S2-23
2015-10-02,S2,T2,S2-23,0.611,T2_S2-23
2015-10-21,S2,T3,S2-23,0.598,T3_S2-23
2015-12-12,S2,T4,S2-23,0.559,T4_S2-23
2016-01-14,S2,T5,S2-23,0.575,T5_S2-23
2015-06-30,S2,T0,S2-24,0.555,T0_S2-24
2015-08-04,S2,T1,S2-24,0.58,T1_S2-24
2015-10-02,S2,T2,S2-24,0.569,T2_S2-24
2015-10-21,S2,T3,S2-24,0.572,T3_S2-24
2015-12-12,S2,T4,S2-24,0.502,T4_S2-24
2016-01-14,S2,T5,S2-24,0.55,T5_S2-24
2016-01-25,S2,T6,S2-24,0.555,T6_S2-24
2016-02-01,S2,T7,S2-24,0.553,T7_S2-24
2016-02-05,S2,T8,S2-24,0.55,T8_S2-24
2016-02-12,S2,T9,S2-24,0.517,T9_S2-24
2016-02-22,S2,T10,S2-24,0.258,T10_S2-24
2016-04-05,S2,T11,S2-24,0.565,T11_S2-24
2015-06-30,S2,T0,S2-25,0.553,T0_S2-25
